2025-12-01 07:57:40 | INFO | app.startup_checks:run_all:11 - Running startup checks...
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
2025-12-01 09:14:38 | ERROR | app.receptionist_agent:send_audio:135 - Error processing audio for Gemini: received 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.; then sent 1007 (invalid frame payload data) Invalid JSON payload received. Unknown name "system_instructions" at 'setup': Cannot find field.
